Image Name,Area,Perimeter,Eccentricity,prediction
test105,73.0,52.627416491508484,3.3308403749517326,1
test125,101.0,45.79898965358734,1.4658180466636448,1
test182,360.0,127.05382287502289,2.435136737542942,1
test80,96.5,52.3847758769989,2.1539775318126666,1
test51,170.5,83.35533821582794,2.8304409026428488,1
test36,117.5,62.52691209316254,2.245182393552514,1
test66,820.0,119.59797894954681,1.3112380760289717,1
test35,410.0,114.08325982093811,1.4890847773672609,1
test63,82.5,51.21320283412933,4.259167420579846,1
test133,232.0,72.28427076339722,2.551653869462986,1
test103,82.0,38.485281229019165,2.408358560732536,1
test87,1211.0,133.74011421203613,1.1608019719569664,1
test113,1018.0,625.8477599620819,1.8197015796749916,1
test101,17.0,16.82842707633972,1,0
test49,75.0,33.65685415267944,1.4259562214676762,1
test196,134.5,54.38477575778961,2.3298916529216944,1
test157,218.0,97.59797894954681,1.9374130683973072,1
test18,40.0,27.313708305358887,1.5258323757040073,1
test84,6.0,11.656854152679443,1,0
test93,424.5,89.35533821582794,1.4224212129556881,1
test149,249.5,68.87005722522736,2.132022823729744,1
test90,359.5,76.52691113948822,1.2994555706265887,1
